"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1025","cds-hnc","2","60","142",NA,NA,NA,"0.447339784400677","-37.2936595626219"
"1026","cds-hrp","2","60","142",NA,NA,NA,"0.284398983087263","-42.5980465745657"
"1027","2","60","143","28.7954166427833","-51.5908332855667","0.266339092547752","225.276730599518","233.843094975339","2"
"1028","cds-hnc","2","60","143",NA,NA,NA,"0.400812684230215","-48.8585499030796"
"1029","cds-hrp","2","60","143",NA,NA,NA,"0.267957017956671","-52.8575079290941"
"1030","2","60","144","15.4815773355719","-24.9631546711439","0.34228851556571","175.29071900305","233.843094975339","2"
"1031","cds-hnc","2","60","144",NA,NA,NA,"0.514980133682416","-24.2853271116617"
"1032","cds-hrp","2","60","144",NA,NA,NA,"0.360575935279611","-26.2820870469633"
"1033","2","60","145","15.3536122664196","-24.7072245328393","0.205217539863132","292.372669704629","233.843094975339","2"
"1034","cds-hnc","2","60","145",NA,NA,NA,"0.587245346251334","-12.4080059301135"
"1035","cds-hrp","2","60","145",NA,NA,NA,"0.311732345690618","-22.2907721892037"
"1036","2","60","146","11.0092968871026","-20.0185937742053","0.543076134378525","110.481746852422","233.843094975339","1"
"1037","cds-hnc","2","60","146",NA,NA,NA,"0.543076135341167","-20.0185937742052"
"1038","cds-hrp","2","60","146",NA,NA,NA,"0.517925480183301","-18.6208115806415"
"1039","2","60","147","14.6486639571736","-23.2973279143471","0.203598316241206","294.697918468623","233.843094975339","2"
"1040","cds-hnc","2","60","147",NA,NA,NA,"0.593714645482701","-13.721425528066"
"1041","cds-hrp","2","60","147",NA,NA,NA,NA,NA
"1042","2","60","148","24.684884086909","-43.3697681738181","0.274487814523681","218.58893847116","233.843094975339","2"
"1043","cds-hnc","2","60","148",NA,NA,NA,NA,NA
"1044","cds-hrp","2","60","148",NA,NA,NA,"0.25854341235033","-41.1876756389534"
"1045","2","60","149","20.0313494059359","-34.0626988118717","0.149982664129032","400.046234332664","233.843094975339","2"
"1046","cds-hnc","2","60","149",NA,NA,NA,"0.494955740645883","-27.7099945352022"
"1047","cds-hrp","2","60","149",NA,NA,NA,"0.257404483114636","-28.1175904573589"
"1048","2","60","150","22.6840710058772","-39.3681420117544","0.114160179665569","525.577308793395","233.843094975339","2"
"1049","cds-hnc","2","60","150",NA,NA,NA,"0.518664540072493","-21.6532983020175"
"1050","cds-hrp","2","60","150",NA,NA,NA,"0.134455732040246","-37.1879517920138"
"1051","2","60","151","7.75525251677095","-9.51050503354189","0.401210677871758","149.547365783665","233.843094975339","2"
"1052","cds-hnc","2","60","151",NA,NA,NA,"0.661458453880141","-7.57662969809203"
"1053","cds-hrp","2","60","151",NA,NA,NA,"0.443508550051853","-10.7592867284573"
"1054","2","60","152","22.4078812978632","-38.8157625957264","0.194985943551699","307.71448909132","233.843094975339","2"
"1055","cds-hnc","2","60","152",NA,NA,NA,"0.486444524807146","-29.2693876376421"
"1056","cds-hrp","2","60","152",NA,NA,NA,"0.589605084046362","-21.0503176184568"
"1057","2","60","153","16.169956059868","-26.339912119736","0.240328252336743","249.658537506981","233.843094975339","2"
"1058","cds-hnc","2","60","153",NA,NA,NA,"0.505520805247548","-25.8613903793332"
"1059","cds-hrp","2","60","153",NA,NA,NA,"0.44952098459541","-24.0018351459864"
"1060","2","60","154","15.3197352959384","-24.6394705918769","0.286346224578029","209.536549987409","233.843094975339","2"
"1061","cds-hnc","2","60","154",NA,NA,NA,"0.559022135957855","-15.8387374684464"
"1062","cds-hrp","2","60","154",NA,NA,NA,"0.212181157993223","-24.9840773369631"
